id,name,source,rarity,type,level
j7NNPfZwD19BwSEZ,Unseen Servant,Pathfinder Core Rulebook,common,,-1
sKSfQmJMEsj8QN12,Adept,Pathfinder Gamemastery Guide,common,Humanoid,-1
8WFGygPv7UHh7zdJ,Apothecary,Pathfinder Gamemastery Guide,common,Humanoid,-1
aJR3f8YcAkmfx7im,Apprentice,Pathfinder Gamemastery Guide,common,Humanoid,-1
ImdKLPgazv4MSI0F,Barrister,Pathfinder Gamemastery Guide,common,Humanoid,-1
JsTI2SEZdg2j03gf,Beggar,Pathfinder Gamemastery Guide,common,Humanoid,-1
xY2WjwebqTNXAP0q,Commoner,Pathfinder Gamemastery Guide,common,Humanoid,-1
K8mtLJ5jgxfqxTCv,Harrow Reader,Pathfinder Gamemastery Guide,common,Humanoid,-1
tbiThWX0gAVZAMor,Judge,Pathfinder Gamemastery Guide,common,Humanoid,-1
QAodADCKmbkf53CE,Librarian,Pathfinder Gamemastery Guide,common,Humanoid,-1
cAOWcPIjtZYXYZ3i,Merchant,Pathfinder Gamemastery Guide,common,Humanoid,-1
7RF95b3WHkvHWLrv,Physician,Pathfinder Gamemastery Guide,common,Humanoid,-1
1iz7O6DLDJqStojd,Servant,Pathfinder Gamemastery Guide,common,Humanoid,-1
OSCpJYTr6xNIxqZi,Server,Pathfinder Gamemastery Guide,common,Humanoid,-1
hK8Tpg3baKWzmPEv,Tax Collector,Pathfinder Gamemastery Guide,common,Humanoid,-1
Jg9OEmo68KC91PgC,Teacher,Pathfinder Gamemastery Guide,common,Humanoid,-1
G2ftdkyJ5WDonL0C,Urchin,Pathfinder Gamemastery Guide,common,Humanoid,-1
QZmckb7O3PNgY7D6,Dockhand,Pathfinder Gamemastery Guide,common,Humanoid,0
u3tXaX3sOtCvuHW3,Farmer,Pathfinder Gamemastery Guide,common,Humanoid,0
DSA03902sWGot0ev,Miner,Pathfinder Gamemastery Guide,common,Humanoid,0
IQJT1Bg9FhvHHEap,Torchbearer,Pathfinder Gamemastery Guide,common,Humanoid,0
crTWewxna93vEt6B,Acolyte of Nethys,Pathfinder Gamemastery Guide,common,Humanoid,1
6IADTZHYowxObqAk,Barkeep,Pathfinder Gamemastery Guide,common,Humanoid,1
7eJJIIVEDB3EFFcZ,Bodyguard,Pathfinder Gamemastery Guide,common,Humanoid,1
Ap87yR4WOs0wKHx7,Cultist,Pathfinder Gamemastery Guide,common,Humanoid,1
lfXQECIiN0zZdf95,Dancer,Pathfinder Gamemastery Guide,common,Humanoid,1
Zd0K8TOkthc4a4l7,Grave Robber,Pathfinder Gamemastery Guide,common,Humanoid,1
WTCFE1BYdZGWJHh7,Gravedigger,Pathfinder Gamemastery Guide,common,Humanoid,1
rsATu823vatRe7QJ,Guard,Pathfinder Gamemastery Guide,common,Humanoid,1
PLOfWPKwB7pE4arv,Innkeeper,Pathfinder Gamemastery Guide,common,Humanoid,1
p94aKz7KsiAQJscm,Prisoner,Pathfinder Gamemastery Guide,common,Humanoid,1
Tj03FbN4SSr0o953,Acrobat,Pathfinder Gamemastery Guide,common,Humanoid,2
DD2JNeRxO79WFlOL,Archer Sentry,Pathfinder Gamemastery Guide,common,Humanoid,2
51E3fdESgGjQxcMv,Astronomer,Pathfinder Gamemastery Guide,common,Humanoid,2
KPUDfkVpemug2gKj,Bandit,Pathfinder Gamemastery Guide,common,Humanoid,2
IaSxoVNZFYatdfjI,Drunkard,Pathfinder Gamemastery Guide,common,Humanoid,2
8coHofIpLa5ZnjAF,Navigator,Pathfinder Gamemastery Guide,common,Humanoid,2
5LvpvIMhaYLcyAk6,Pirate,Pathfinder Gamemastery Guide,common,Humanoid,2
X1cSs1jhTtx1zTI4,Poacher,Pathfinder Gamemastery Guide,common,Humanoid,2
W9lhKuDeS670LzLx,Prophet,Pathfinder Gamemastery Guide,common,Humanoid,2
DFurZlcpcNrUmmER,Ruffian,Pathfinder Gamemastery Guide,common,Humanoid,2
ny37LcdsPLY9Osby,Saboteur,Pathfinder Gamemastery Guide,common,Humanoid,2
wfsT2QDtQhsFXQfE,Surgeon,Pathfinder Gamemastery Guide,common,Humanoid,2
1NZ1ZAgcUlWKmQSs,Bosun,Pathfinder Gamemastery Guide,common,Humanoid,3
7GGHuOlSzcaF2AdL,Charlatan,Pathfinder Gamemastery Guide,common,Humanoid,3
EslFhpdvQf7KN8W3,Chronicler,Pathfinder Gamemastery Guide,common,Humanoid,3
saUg5rtaO9kI9Vir,Harbormaster,Pathfinder Gamemastery Guide,common,Humanoid,3
gzirsGA07yG6CaG8,Jailer,Pathfinder Gamemastery Guide,common,Humanoid,3
1sWw5OgmpazLVqRQ,Mage For Hire,Pathfinder Gamemastery Guide,common,Humanoid,3
R5SWtNtQt8l7WLYk,Noble,Pathfinder Gamemastery Guide,common,Humanoid,3
o9dAbSVn4Vi4ejjc,Smith,Pathfinder Gamemastery Guide,common,Humanoid,3
TCzxsJQjUpy02CsJ,Tracker,Pathfinder Gamemastery Guide,common,Humanoid,3
lemVxzg2Pnx9Nu3d,Troubadour,Pathfinder Gamemastery Guide,common,Humanoid,3
TgeUj2IiyoTeZHIO,Watch Officer,Pathfinder Gamemastery Guide,common,Humanoid,3
PoIuzIWFnlAQ8pdH,Beast Tamer,Pathfinder Gamemastery Guide,common,Humanoid,4
GoGNtiHuYycppLPk,Bounty Hunter,Pathfinder Gamemastery Guide,common,Humanoid,4
B09JfuBZHjcRXztU,Burglar,Pathfinder Gamemastery Guide,common,Humanoid,4
9jDT7EhtlZtNpCz7,False Priest,Pathfinder Gamemastery Guide,common,Humanoid,4
X7LmMMEOFUUicQ2O,Guide,Pathfinder Gamemastery Guide,common,Humanoid,4
Cnm5zWmuTEYy6mPx,Mastermind,Pathfinder Gamemastery Guide,common,Humanoid,4
B13dyXTo1xWVyj2R,Palace Guard,Pathfinder Gamemastery Guide,common,Humanoid,4
lTcX8tk6JjQBFcq1,Zealot of Asmodeus,Pathfinder Gamemastery Guide,common,Humanoid,4
w4VJ6h4mysbpdoN4,Advisor,Pathfinder Gamemastery Guide,common,,5
K2STan8izudm9eEn,Antipaladin,Pathfinder Gamemastery Guide,common,Humanoid,5
EzD6YlNXL48rN8nq,Despot,Pathfinder Gamemastery Guide,common,Humanoid,5
1U1URD7IyddoD5zE,Fence,Pathfinder Gamemastery Guide,common,Humanoid,5
kmHYc2fvhd4QsUEV,Necromancer,Pathfinder Gamemastery Guide,common,Humanoid,5
ldaY3QcPczuFoqBC,Plague Doctor,Pathfinder Gamemastery Guide,common,Humanoid,5
B0pZAGooj735FGfw,Tomb Raider,Pathfinder Gamemastery Guide,common,Humanoid,5
t7QwdZ2m7AbuRWqd,Captain Of The Guard,Pathfinder Gamemastery Guide,common,Humanoid,6
Za701s0CV37YPOyo,Executioner,Pathfinder Gamemastery Guide,common,Humanoid,6
zQfufnnLCTzQ165S,Monster Hunter,Pathfinder Gamemastery Guide,common,Humanoid,6
XpkGaDlyMH2V5wxR,Priest of Pharasma,Pathfinder Gamemastery Guide,common,Humanoid,6
mblLgQ9NMR2mMI99,Reckless Scientist,Pathfinder Gamemastery Guide,common,Humanoid,6
3lZhmvNLQkiYGAof,Sage,Pathfinder Gamemastery Guide,common,Humanoid,6
KUDsYCHduF0JE3yf,Ship Captain,Pathfinder Gamemastery Guide,common,Humanoid,6
SwjcZsbkcq6PhiXc,Spy,Pathfinder Gamemastery Guide,common,Humanoid,6
GRtEwNQgKQ9j9JPK,Warden,Pathfinder Gamemastery Guide,common,Humanoid,6
pMKrTXmrzDOc9avN,Cult Leader,Pathfinder Gamemastery Guide,common,Humanoid,7
0Ex7rBuiJVu2NwCz,Demonologist,Pathfinder Gamemastery Guide,common,Humanoid,7
vkLhqX5oR1t89puZ,Gang Leader,Pathfinder Gamemastery Guide,common,Humanoid,7
Hle05FibgOeZr7wF,Hunter,Pathfinder Gamemastery Guide,common,Humanoid,7
0Kb4z4h8KVqfrIju,Assassin,Pathfinder Gamemastery Guide,common,Humanoid,8
pZOgcQRwXrX9g0s8,Guildmaster,Pathfinder Gamemastery Guide,common,Humanoid,8
6pPolNZycfDiOl2I,Nairu,Pathfinder Gamemastery Guide,unique,Humanoid,8
ETwmjdnmSkqGdD5r,Animated Broom,Pathfinder Bestiary,common,Construct,-1
HpD0BTfid3hnUEWj,Bloodseeker,Pathfinder Bestiary,common,Animal,-1
8r8Ar08ojdJuPeiH,Eagle,Pathfinder Bestiary,common,Animal,-1
i6Rd1BE30hhyKxwo,Flash Beetle,Pathfinder Bestiary,common,Animal,-1
BKPRkJgq7ehsW7uX,Giant Centipede,Pathfinder Bestiary,common,Animal,-1
AYwdybUfm4meGUTJ,Giant Rat,Pathfinder Bestiary,common,Animal,-1
jVZRROs0GzDjVrgi,Goblin Warrior,Pathfinder Bestiary,common,Humanoid,-1
QRRX82FIjBKd8pzs,Guard Dog,Pathfinder Bestiary,common,Animal,-1
r9w1n85mp9Ip4QiS,Kobold Warrior,Pathfinder Bestiary,common,Humanoid,-1
E0LCMHVp4sxAbQYa,Mitflit,Pathfinder Bestiary,common,Fey,-1
5H8ZX7y5IkUBhvhF,Skeleton Guard,Pathfinder Bestiary,common,Undead,-1
cDgOfBCrWcpYwRVS,Sprite,Pathfinder Bestiary,common,Fey,-1
lFlXmieuHTBIonhj,Viper,Pathfinder Bestiary,common,Animal,-1
0plBflWwrCWQO2RO,Zombie Shambler,Pathfinder Bestiary,common,Undead,-1
i1HEQ6f15fMEcHQf,Duergar Sharpshooter,Pathfinder Bestiary,common,Humanoid,0
2GRPw4VK6zfCS2Qw,Homunculus,Pathfinder Bestiary,common,Construct,0
BeptBpCJ4Ny4biOH,Leaf Leshy,Pathfinder Bestiary,common,Plant,0
